SIZE,FUEL,DISTANCE,DESIBEL,AIRFLOW,FREQUENCY,BOS,Operation_Code,STATUS
1,thinner,100,104,8.6,46,307.2,84923,1
5,thinner,110,96,3.7,60,267.8,84946,0
5,gasoline,80,96,2.8,66,259.8,84950,0
1,thinner,90,84,3.2,2,218.2,84969,0
4,kerosene,120,105,4.8,52,285.75,84970L,0
1,kerosene,160,94,6.5,27,248.7,84970S,0
1,thinner,180,95,2.7,48,275.25,84971S,0
7,lpg,30,92,11.3,8,255.6,84976,1
3,gasoline,30,106,0,75,287.3,84988,0
7,lpg,190,84,2,4,259.2,84992,0
5,gasoline,90,106,12.6,32,278.3,85008,1
1,thinner,110,92,7,7,284.6,85015,1
2,thinner,190,95,2.1,60,255.25,85017A,0
5,thinner,30,107,13.3,52,274.85,85017B,1
5,thinner,50,105,11.5,20,286.75,85032D,1
3,kerosene,100,,5.7,50,280.25,85040B,0
4,kerosene,110,91,6.1,12,282.05,85048,0
5,gasoline,110,106,9.3,27,271.3,85049A,1
5,kerosene,20,108,14.8,33,275.4,85049E,1
5,gasoline,100,89,4.9,12,275.95,85049G,1
1,gasoline,30,110,15.2,38,321.5,85053,1
4,gasoline,130,106,5.7,45,278.3,85064,0
4,thinner,120,103,5.7,24,303.65,85099B,0
1,thinner,90,89,7.9,10,276.95,85099F,1
1,gasoline,10,75,0.8,1,217.25,85114A,1
6,lpg,30,92,11.3,8,243.6,85114B,1
2,kerosene,110,96,3.7,60,250.8,85114C,0
4,kerosene,130,92,5,12,268.6,85116,0
4,thinner,50,107,14.4,45,299.85,85123A,1
5,kerosene,180,94,3.8,28,255.7,85131B,0
4,gasoline,60,109,13.8,46,313.95,85131D,1
2,kerosene,160,92,5.2,26,273.6,85132A,0
5,gasoline,100,86,6.5,4,226.3,85135B,0
6,lpg,80,102,0,68,266.1,85136A,0
5,kerosene,20,91,13.6,22,235.05,85136C,1
2,kerosene,10,103,9.7,65,308.65,85150,1
4,kerosene,160,90,3.2,21,252.5,85170D,0
1,thinner,60,106,0,68,282.3,85199L,0
3,gasoline,110,106,8.5,34,318.3,85212,1
5,thinner,50,107,13.3,26,307.85,85227,1
3,thinner,160,92,3.4,16,263.6,85231B,0
1,thinner,90,107,13.1,45,283.85,85232B,1
1,kerosene,140,94,5.7,25,270.7,85232D,1
1,thinner,20,92,13.8,23,257.6,90013B,1
1,kerosene,10,110,15.1,32,308.5,90018B,1
5,gasoline,160,93,5.3,33,268.15,90019B,0
4,kerosene,30,96,0,72,280.8,90024C,0
6,lpg,180,96,3.9,25,293.8,90036F,1
4,gasoline,170,97,3.6,44,251.35,90040B,0
5,thinner,20,112,14.6,51,286.6,90051,1
1,gasoline,170,91,2.2,8,236.05,90054,0
4,kerosene,150,79,2.2,2,224.45,90077,0
2,kerosene,140,107,2.3,55,295.85,90124B,0
2,gasoline,60,87,10.2,6,235.85,90134,1
1,kerosene,90,96,2.1,67,265.8,90138,0
4,kerosene,10,109,15.2,,299.95,90161A,1
1,gasoline,100,94,6,20,285.7,90161B,1
5,kerosene,80,91,8.6,12,238.05,90166,1
1,thinner,180,92,2.2,9,247.6,90173,0
5,thinner,190,96,0,70,280.8,90177C,0
7,lpg,80,88,9.5,6,232.4,90177E,1
4,kerosene,80,105,11.3,26,274.75,90181B,1
2,gasoline,20,103,12,55,301.65,90192,1
4,gasoline,90,104,10.6,24,314.2,90200C,1
5,thinner,80,96,2.8,66,245.8,90206C,0
3,thinner,70,87,8.1,4,243.85,90209C,0
3,kerosene,70,103,10.6,50,278.65,90211A,1
5,kerosene,110,106,8.1,36,313.3,90214A,0
1,kerosene,190,105,0,72,285.75,90214E,0
4,kerosene,170,93,3.6,18,252.15,90214H,0
5,thinner,50,86,8.3,4,243.3,90214S,0
3,thinner,20,90,15.2,36,261.5,DOT,1
4,thinner,140,93,4.6,45,274.15,20970,0
1,gasoline,120,95,3.6,55,245.25,22785,0
1,gasoline,190,94,2.6,47,274.7,84658,0
4,gasoline,90,95,6.4,60,275.25,20728,0
4,kerosene,10,96,2.6,70,278.8,82494L,0
3,kerosene,100,91,9,16,272.05,22165,1
3,kerosene,90,89,,15,262.95,22467,1
7,lpg,110,105,6.8,47,317.75,22448,0
4,kerosene,190,96,2.9,26,265.8,22447,0
1,thinner,80,75,0,1,195.25,22446,0
3,thinner,50,106,12.5,19,283.3,20665,1
2,kerosene,190,93,2,12,258.15,21524,0
3,gasoline,130,88,3.8,8,239.4,22366,0
2,kerosene,140,102,5.4,38,260.1,22519,0
5,kerosene,170,96,0,66,278.8,22222,0
3,gasoline,170,83,2,3,227.65,21472,0
1,kerosene,20,103,12,55,294.65,21733,1
6,lpg,120,103,5.3,48,273.65,22113,0
1,kerosene,140,104,4.4,48,310.2,22804,0
1,gasoline,180,85,1.6,4,248.75,84970L,0
7,lpg,140,94,4.2,22,262.7,85123A,1
4,kerosene,40,87,13.2,22,268.85,21877,1
3,kerosene,30,97,11.8,9,289.35,21137,1
7,lpg,80,106,11.6,28,287.3,22041,1
1,gasoline,20,108,14.8,33,282.4,22121,1
1,gasoline,160,93,3.9,18,279.15,21756,1
1,thinner,170,96,0,66,292.8,21705,0
5,gasoline,10,109,15.2,21,324.95,22694,1
4,gasoline,130,92,6.5,26,245.6,20679,1
1,thinner,10,109,17,30,292.95,21577,1
1,gasoline,90,98,0,72,262.9,22524,0
2,thinner,60,106,12.6,26,300.3,20765,1
5,kerosene,110,95,3.4,55,285.25,21624,0
2,thinner,170,92,3.8,22,263.6,22900,0
1,kerosene,190,102,2.6,46,296.1,22114,0
3,thinner,30,,12.3,24,312.85,21967,1
5,gasoline,160,94,3.3,47,254.7,84926A,0
4,thinner,10,108,15.4,22,317.4,22802,1
1,kerosene,70,106,11.6,25,275.3,22952,1
3,thinner,60,108,13.5,27,286.4,21704,1
5,kerosene,110,106,7.1,42,302.3,21703,0
6,lpg,10,107,15.5,26,275.85,21705,1
1,kerosene,110,108,4.2,52,289.4,85035C,0
2,thinner,180,91,3.2,22,253.05,72803A,0
2,gasoline,50,90,10.5,6,266.5,22086,1
4,thinner,60,104,12,20,296.2,22910,1
4,kerosene,40,106,12.3,60,273.3,22583,1
6,lpg,90,106,11,40,309.3,22731,1
4,kerosene,50,82,3.2,2,243.1,20682,0
4,gasoline,20,90,11,6,235.5,72802C,1
4,kerosene,190,94,3.1,24,282.7,22384,0
5,kerosene,130,86,4.5,5,224.3,40001,0
4,thinner,140,90,2.7,9,274.5,21709,0
3,gasoline,140,89,5,13,251.95,22220,0
3,thinner,130,92,5,12,255.6,21739,1
2,gasoline,60,106,14,30,293.3,85034A,1
7,lpg,150,85,4.8,5,253.75,72818,0
7,lpg,50,106,12.5,19,305.3,72798C,1
5,thinner,20,90,11,6,274.5,22197,1
3,gasoline,150,85,3.7,3,241.75,20726,0
2,gasoline,30,101,0.4,70,260.55,84744,1
3,kerosene,160,91,3.3,20,281.05,35271S,0
4,gasoline,30,97,11.8,9,260.35,21380,1
3,kerosene,70,87,10.6,14,243.85,22909,1
1,gasoline,180,93,3.6,24,240.15,21221,0
5,kerosene,130,105,5.6,35,287.75,20755,0
2,kerosene,160,93,5.3,33,280.15,21421,0
6,lpg,120,95,3.6,55,254.25,21422,0
5,thinner,150,89,3.1,7,268.95,22178,0
7,lpg,120,89,3.9,9,257.95,22617,1
3,kerosene,120,96,0,68,284.8,22968,0
6,lpg,130,96,1.9,65,245.8,22727,0
5,thinner,80,105,11.6,45,303.75,22726,0
4,gasoline,150,96,4.2,44,291.8,84945,0
5,kerosene,120,103,8.2,34,290.65,20749,0
4,gasoline,80,94,6.5,55,285.7,21056,0
3,kerosene,150,96,4.2,44,,85123A,0
3,thinner,10,105,12.9,8,284.75,71053,1
7,lpg,40,110,14.4,38,320.5,82483,1
5,thinner,70,105,11,48,278.75,82486,1
4,thinner,10,108,15.5,28,285.4,82482,1
3,gasoline,170,93,3.6,18,278.15,82494L,0
7,lpg,190,105,0,72,294.75,22411,0
5,thinner,150,85,4.8,5,227.75,84029G,0
5,thinner,30,92,11.3,8,270.6,84029E,1
2,thinner,120,105,6.4,26,267.75,22752,1
4,gasoline,180,96,3.9,25,253.8,22803,0
3,thinner,80,106,11.8,32,271.3,21730,1
5,kerosene,90,88,10,7,244.4,22632,0
1,gasoline,140,94,5.2,35,288.7,22633,1
3,thinner,50,94,6.4,55,287.7,37370,1
3,thinner,40,93,13.5,50,262.15,21871,1
4,gasoline,110,96,0,70,277.8,21071,0
7,lpg,130,108,0,75,324.4,21068,0
5,kerosene,10,96,0,75,289.8,82483,0
4,gasoline,160,96,0,67,258.8,22411,0
5,thinner,30,108,14.4,35,289.4,84029G,1
4,kerosene,180,91,3.2,20,259.05,84029E,0
2,thinner,190,92,2.7,17,251.6,21730,0
2,thinner,110,91,6.1,12,278.05,22752,1
5,thinner,180,95,3.8,26,270.25,85123A,0
3,kerosene,50,106,,25,313.3,71053,1
4,thinner,190,92,2,19,274.6,22632,0
3,gasoline,70,103,10.6,50,284.65,22633,1
4,gasoline,40,90,12.3,20,239.5,84832,1
5,gasoline,150,96,0,72,261.8,85231B,0
1,gasoline,120,103,5,50,273.65,22189,0
1,gasoline,50,104,12,18,288.2,22457,1
4,kerosene,10,108,15.4,22,317.4,22863,1
5,gasoline,10,75,0.8,1,196.25,22792,0
2,gasoline,40,96,0,72,263.8,84970S,0
2,kerosene,160,92,3.4,22,268.6,72741,0
2,kerosene,80,106,11.8,32,311.3,22961,1
1,kerosene,90,105,10,21,312.75,21364,1
1,gasoline,90,104,8.5,51,292.2,22219,0
5,thinner,180,102,2.5,51,285.1,20966,0
2,thinner,130,96,0,70,270.8,22107,0
3,kerosene,160,91,2.7,8,233.05,22109,0
5,thinner,140,90,2.9,8,270.5,21181,0
3,thinner,120,103,5.7,24,290.65,21042,1
4,kerosene,10,110,15.2,,321.5,47567B,1
1,gasoline,80,106,12.6,35,282.3,22111,1
5,thinner,120,101,5.7,18,276.55,22271,0
2,kerosene,180,95,3.8,26,249.25,22272,0
5,thinner,10,108,15.2,24,304.4,22273,1
3,kerosene,190,97,2.6,28,265.35,22274,0
5,kerosene,160,74,0,1,225.7,20963,0
2,gasoline,30,88,10.2,5,239.4,21172,1
2,kerosene,80,110,11.6,38,321.5,20914,1
5,gasoline,90,89,7.9,10,264.95,72760B,1
1,kerosene,140,109,0,72,287.95,22602,0
5,kerosene,130,88,5.3,7,264.4,21754,0
2,thinner,180,92,4.4,18,282.6,21756,0
3,kerosene,140,102,5.4,38,282.1,21481,0
5,gasoline,100,106,5.4,52,282.3,22114,0
6,lpg,150,93,5.6,27,261.15,22386,1
2,kerosene,170,88,3.1,15,253.4,85099B,0
1,gasoline,130,92,4.6,11,280.6,22365,0
5,gasoline,50,108,12.5,51,282.4,21955,1
6,lpg,10,108,15.4,23,279.4,21733,1
4,kerosene,140,93,,45,265.15,84879,0
1,thinner,60,106,12.5,24,282.3,22423,1
3,thinner,10,107,15.5,26,298.85,22624,1
2,gasoline,40,107,15.2,44,304.85,22507,1
7,lpg,50,90,10.3,10,248.5,22457,1
1,gasoline,60,107,11,55,275.85,22804,1
4,gasoline,120,104,5.6,23,275.2,85123A,1
7,lpg,150,89,5.6,30,235.95,22863,0
1,kerosene,70,106,12.5,44,271.3,22962,1
3,kerosene,180,95,2.7,50,276.25,22963,0
4,gasoline,170,86,3.1,6,222.3,85123A,0
5,kerosene,60,87,10.2,6,246.85,71053,1
1,kerosene,120,105,6.4,26,272.75,84406B,1
2,gasoline,150,92,4.5,24,235.6,37370,1
3,gasoline,170,91,2,10,280.05,21871,0
1,kerosene,60,87,8.6,4,254.85,21071,1
5,thinner,80,91,8.6,12,237.05,21068,1
2,gasoline,170,101,2.8,48,303.55,82483,0
4,gasoline,40,106,13.5,26,320.3,82486,1
2,gasoline,120,101,5.7,18,268.55,82482,1
5,kerosene,50,92,12.3,23,269.6,82494L,1
5,kerosene,190,,2.6,28,280.35,22411,0
3,thinner,50,104,12,18,289.2,84029G,1
4,gasoline,140,102,5.4,38,290.1,84029E,0
4,gasoline,60,106,12.6,26,292.3,22752,1
2,gasoline,130,94,3.8,50,270.7,21730,0
5,gasoline,150,92,4.5,24,235.6,22632,0
2,kerosene,170,85,3.3,5,250.75,22633,0
2,kerosene,70,88,10.7,17,265.4,22865,1
5,gasoline,90,106,6.1,55,289.3,22866,0
2,thinner,10,96,3.2,68,286.8,22632,1
4,gasoline,40,90,10,12,261.5,22633,1
5,kerosene,190,104,0,75,271.2,21790,0
5,kerosene,40,93,14.4,27,,21889,1
1,thinner,190,92,2.7,17,266.6,22549,1
3,thinner,150,94,3.1,50,246.7,84031A,0
4,kerosene,100,105,10,33,298.75,84032A,0
3,thinner,170,96,0,66,266.8,62096A,0
4,gasoline,80,95,5.8,60,253.25,85071D,0
4,thinner,20,92,16,42,269.6,21915,1
3,kerosene,100,92,5.6,10,281.6,82580,1
4,kerosene,40,90,10,10,240.5,21272,1
2,thinner,150,92,4.5,34,246.6,85123A,0
2,gasoline,140,88,2.3,11,246.4,71053,1
3,gasoline,160,97,0,75,289.35,84406B,0
5,thinner,120,103,8.2,34,282.65,37370,0
5,kerosene,110,101,6.5,19,279.55,21871,0
4,kerosene,20,110,15.5,47,284.5,21071,1
2,thinner,190,97,2.8,44,270.35,21068,0
2,thinner,110,95,5,50,245.25,82483,0
3,thinner,130,96,0,68,252.8,82486,0
2,gasoline,70,90,9.5,8,239.5,82482,1
5,kerosene,150,92,4.8,25,280.6,82494L,0
1,gasoline,170,85,3.3,5,248.75,22411,0
5,gasoline,30,97,11.8,9,263.35,84029G,1
5,kerosene,30,92,10.9,11,264.6,84029E,1
5,gasoline,70,107,13.2,40,291.85,21730,1
1,thinner,120,85,4.2,4,,22149,1
3,kerosene,90,105,11.5,26,289.75,22818,1
2,thinner,50,95,14.3,38,287.25,22044,1
1,kerosene,20,95,16,46,279.25,21790,1
7,lpg,110,100,7,17,281,22619,1
4,thinner,170,95,3.2,47,244.25,22620,0
2,thinner,140,96,0,70,280.8,21918,0
1,kerosene,50,106,14.1,32,318.3,22544,1
4,kerosene,10,105,15.2,45,283.75,21791,1
6,lpg,190,94,2.5,52,276.7,22029,0
1,thinner,130,96,1.5,67,259.8,22037,0
6,lpg,60,107,14.2,33,272.85,22652,1
7,lpg,90,104,10,50,288.2,84836,0
4,thinner,70,90,10.2,7,240.5,22910,1
4,thinner,120,104,5.7,21,266.2,22736,0
2,thinner,20,108,14.8,33,285.4,21360,1
3,kerosene,30,89,14.2,32,249.95,22945,1
2,kerosene,160,105,3.7,42,302.75,22632,0
7,lpg,40,90,12.3,23,273.5,22633,1
3,thinner,100,86,6.5,4,220.3,22367,0
6,lpg,100,103,6.5,23,265.65,84077,1
4,gasoline,140,92,6.4,26,274.6,22618,1
2,kerosene,130,105,3.7,52,305.75,22752,0
7,lpg,150,74,0,,199.7,22837,0
5,thinner,160,94,1.9,55,272.7,22634,0
5,gasoline,80,86,9.5,5,262.3,22898,1
2,kerosene,180,88,3.3,6,230.4,22781,0
5,kerosene,110,107,8.9,35,307.85,22467,0
5,thinner,170,91,2.8,13,272.05,84792,0
3,thinner,80,85,5,3,227.75,21754,0
4,thinner,170,84,3.6,4,243.2,22120,0
3,thinner,170,92,4.2,23,236.6,21137,0
5,kerosene,90,90,8.2,12,234.5,21356,1
4,kerosene,60,108,12.6,48,277.4,21354,1
1,gasoline,170,93,3.6,18,250.15,79321,1
4,thinner,50,101,0,67,281.55,72741,0
6,lpg,30,97,11.8,9,286.35,22179,1
7,lpg,40,108,13.9,52,324.4,85116,1
3,thinner,170,95,3.7,35,277.25,21125,0
5,kerosene,90,84,3.2,2,234.2,85175,0
2,gasoline,100,86,6.5,4,254.3,79302M,1
3,thinner,110,90,5,9,253.5,20893,1
7,lpg,180,93,4,33,275.15,21743,0
2,gasoline,20,92,16,42,261.6,20975,1
4,thinner,140,92,,26,279.6,21592,0
7,lpg,140,102,3.7,51,284.1,22551,0
1,thinner,180,93,3.4,35,271.15,22555,0
3,thinner,110,96,0,70,252.8,22556,0
4,gasoline,160,93,2.8,50,272.15,22197,0
2,kerosene,140,92,5.3,18,259.6,22198,0
4,kerosene,160,102,2.7,48,279.1,22418,0
5,thinner,130,86,4.9,6,221.3,21791,0
5,thinner,170,94,3.3,16,244.7,21914,0
5,gasoline,60,84,0,1,240.2,21915,0
7,lpg,40,93,13.5,50,249.15,22440,1
2,thinner,130,103,3.7,51,268.65,22434,0
1,kerosene,190,94,1.6,55,280.7,22466,0
1,thinner,60,108,14.2,44,290.4,22564,1
1,kerosene,110,95,3.4,55,286.25,84077,0
2,thinner,60,108,14.1,34,298.4,84375,1
4,thinner,40,109,14.9,35,309.95,22909,1
1,kerosene,100,106,5.4,52,320.3,22910,0
4,thinner,10,109,17,30,312.95,22943,1
6,lpg,30,85,10.7,12,264.75,22952,1
3,gasoline,190,92,2.3,18,241.6,22960,0
4,gasoline,100,102,0,72,290.1,22961,0
2,thinner,30,108,14.4,35,275.4,22965,1
4,thinner,100,102,0,72,287.1,21215,0
2,thinner,100,102,4.9,51,264.1,21212,0
1,kerosene,90,87,,6,265.85,21977,1
3,gasoline,160,74,0,1,221.7,84991,0
6,lpg,10,105,14.5,17,270.75,22961,1
5,thinner,140,89,4.4,7,263.95,22744,0
5,gasoline,50,108,13.2,52,294.4,22743,1
3,kerosene,60,107,14.8,42,320.85,85049E,1
2,thinner,50,90,10.3,10,230.5,85049G,1
4,thinner,10,96,0,75,257.8,21328,0
2,gasoline,170,88,4.2,17,234.4,21058,0
4,kerosene,150,95,3.2,52,279.25,21060,0
5,thinner,130,96,7.4,28,263.8,21061,0
5,kerosene,110,92,4.9,10,272.6,21062,0
7,lpg,50,93,10.4,16,276.15,21719,1
4,kerosene,30,101,5,66,281.55,21722,0
5,thinner,10,109,14.9,34,316.95,21724,1
3,kerosene,100,89,7,18,240.95,84826,1
4,thinner,120,101,8.6,15,300.55,21883,0
4,gasoline,150,86,4.5,17,244.3,21881,1
1,thinner,80,92,7.9,10,274.6,21880,1
5,thinner,110,103,7.5,22,271.65,22943,0
6,lpg,140,86,4.6,3,260.3,22549,0
5,gasoline,100,104,6.5,22,276.2,22492,1
4,gasoline,20,91,12.2,,241.05,10135,1
6,lpg,180,92,3.1,45,256.6,22422,0
1,gasoline,110,106,2.7,65,279.3,21790,0
5,thinner,30,96,2.2,67,288.8,22536,0
5,kerosene,180,88,3.3,6,242.4,22561,0
1,gasoline,10,103,9.7,65,309.65,22752,1
3,gasoline,60,83,3.4,2,254.65,21791,0
1,gasoline,90,110,12.2,38,305.5,22491,1
5,gasoline,60,89,11.2,15,251.95,22752,1
5,kerosene,110,100,7,17,272,21355,0
3,kerosene,180,92,3.3,14,262.6,21756,0
5,gasoline,160,86,3.3,4,235.3,21518,0
7,lpg,190,95,2.2,33,269.25,21520,0
3,gasoline,70,87,10.3,6,238.85,21506,1
3,thinner,120,89,3.9,9,257.95,22023,1
6,lpg,120,105,7.2,38,281.75,21519,1
5,kerosene,130,88,3.8,8,266.4,22037,0
6,lpg,170,96,0,66,276.8,22029,0
4,thinner,60,90,9.6,12,230.5,22030,1
7,lpg,140,90,3.2,10,244.5,22027,0
2,kerosene,190,90,,15,251.5,22983,0
6,lpg,10,103,9.7,65,262.65,22718,1
4,gasoline,130,80,2.3,2,253,22717,0
4,gasoline,80,88,7.7,11,232.4,22712,1
2,thinner,30,108,14.2,34,299.4,22028,1
6,lpg,130,86,4.5,5,241.3,22815,1
3,thinner,80,110,11.6,38,329.5,72818,1
5,thinner,120,103,5,50,265.65,22697,0
3,thinner,70,88,8.3,10,224.4,21670,1
3,kerosene,130,86,4.5,5,232.3,21669,0
3,gasoline,190,100,2.7,36,297,21671,0
4,thinner,10,95,12,60,268.25,21673,1
5,kerosene,170,96,0,68,278.8,21672,0
2,thinner,40,85,9.2,4,238.75,22771,1
4,gasoline,190,92,2,19,272.6,22775,0
1,kerosene,190,95,2.9,34,291.25,22772,0
5,thinner,110,95,3.4,55,282.25,22774,0
6,lpg,40,93,13.5,50,245.15,48185,1
2,thinner,170,102,0,75,300.1,48187,0
4,kerosene,50,88,10.6,17,249.4,82494L,1
3,thinner,30,111,15.5,47,323.05,22245,1
2,kerosene,80,105,10.6,25,314.75,84755,1
2,gasoline,180,104,0,,275.2,22460,0
1,gasoline,10,110,15.2,36,300.5,84970L,1
5,gasoline,180,97,0,72,264.35,22432,0
2,thinner,190,97,2.6,28,295.35,22433,0
3,gasoline,190,92,2,9,260.6,22431,0
6,lpg,100,89,7.1,7,230.95,84674,1
2,kerosene,50,95,14.3,38,246.25,82486,1
5,thinner,130,104,7,33,269.2,82483,0
4,thinner,100,106,5.4,52,297.3,21068,0
3,gasoline,90,105,10.6,22,275.75,21069,1
4,thinner,180,91,2.1,8,244.05,21070,0
7,lpg,190,90,3.6,15,274.5,22972,0
2,thinner,70,106,12,26,316.3,22974,1
3,kerosene,170,91,2.1,9,232.05,22419,0
3,gasoline,160,91,4.8,34,241.05,21071,0
4,gasoline,120,85,4.2,4,218.75,22676,0
3,thinner,120,101,,18,293.55,22727,1
1,thinner,90,105,10.6,22,278.75,22726,1
4,kerosene,70,108,9.7,52,323.4,22730,0
1,thinner,60,102,0,72,287.1,22725,0
5,gasoline,60,108,14.5,35,320.4,22672,1
4,gasoline,60,91,11,8,234.05,22109,1
5,thinner,50,108,13.5,27,281.4,22925,1
4,thinner,160,102,4.2,38,282.1,22926,0
7,lpg,20,95,9,60,275.25,22927,1
5,thinner,30,78,4.5,2,201.9,22699,0
3,thinner,70,104,11,20,292.2,20914,1
3,gasoline,90,105,3.1,65,301.75,21212,0
2,kerosene,170,91,2.1,9,267.05,21843,0
2,kerosene,180,96,0,67,272.8,21588,0
3,gasoline,130,86,5,4,261.3,21584,0
2,kerosene,60,107,12.3,22,311.85,22568,1
6,lpg,10,93,15.4,52,276.15,22569,1
1,gasoline,70,96,0,75,284.8,22570,0
2,gasoline,120,104,6.7,42,315.2,21914,1
1,kerosene,20,92,13.5,19,244.6,21915,1
1,thinner,30,90,12,27,278.5,22549,1
5,kerosene,150,96,5.3,32,282.8,22965,0
1,kerosene,90,105,12.8,30,308.75,22839,1
1,gasoline,140,89,5.6,15,274.95,22927,1
6,lpg,100,105,4.4,55,299.75,22928,0
5,gasoline,10,96,2.6,70,252.8,22926,0
2,gasoline,120,87,7,7,263.85,22776,1
2,thinner,60,107,13.8,40,317.85,22778,1
2,kerosene,10,111,15.5,38,314.05,22777,1
7,lpg,150,90,6,15,277.5,22783,1
5,thinner,180,93,,24,247.15,22941,0
3,kerosene,40,106,12.3,60,297.3,21756,1
4,kerosene,10,83,3.1,2,258.65,22961,0
2,kerosene,140,91,5.2,24,281.05,22423,0
2,kerosene,100,75,0,1,202.25,22697,0
6,lpg,50,106,12.5,25,278.3,22699,1
1,kerosene,30,106,0,75,294.3,21755,0
4,gasoline,30,110,16,45,312.5,85123A,1
4,gasoline,20,91,13.6,22,239.05,71053,1
2,gasoline,150,94,3.8,47,264.7,84406B,0
3,kerosene,60,102,3.7,66,291.1,37370,0
7,lpg,170,94,3.3,16,262.7,21871,0
5,gasoline,20,80,5,3,250,21071,0
7,lpg,50,92,14.9,44,236.6,21068,1
5,gasoline,130,88,3.8,8,265.4,82483,0
5,gasoline,50,95,0,75,280.25,82486,0
1,kerosene,160,97,3.4,44,270.35,82482,0
3,thinner,30,85,10.7,12,229.75,82494L,1
4,kerosene,30,108,14.2,34,276.4,22411,1
1,kerosene,130,92,5,19,281.6,84029G,1
5,gasoline,80,104,10.4,24,289.2,84029E,1
1,kerosene,10,102,13.3,55,287.1,22752,1
5,gasoline,30,107,13.3,52,286.85,21730,1
5,kerosene,50,107,14.1,34,279.85,22632,1
2,thinner,160,97,3.4,44,261.35,22633,0
5,kerosene,120,88,8.3,13,233.4,85123A,0
1,kerosene,180,97,0,72,259.35,71053,0
4,thinner,30,103,14.4,55,290.65,84406B,1
7,lpg,10,108,15.7,20,279.4,37370,1
2,thinner,20,95,9,60,257.25,21871,1
2,thinner,150,93,5.6,27,250.15,21071,1
3,thinner,140,96,0,68,275.8,21068,0
2,thinner,90,95,6.4,60,273.25,82483,0
7,lpg,160,95,4.4,35,272.25,82486,0
2,kerosene,40,91,10.3,11,274.05,82482,1
5,thinner,80,102,0,72,278.1,82494L,0
5,gasoline,50,86,8.3,4,229.3,22411,1
5,gasoline,70,104,10.9,21,298.2,84029G,1
4,thinner,160,94,3.3,47,257.7,84029E,0
2,gasoline,180,88,3.3,6,238.4,22752,0
3,gasoline,90,95,6.4,60,263.25,21730,0
4,kerosene,60,89,11.2,,238.95,22632,1
2,thinner,40,107,15.2,42,275.85,22633,1
2,thinner,50,107,14.1,34,296.85,21931,1
3,gasoline,30,109,15.4,48,294.95,85099B,1
4,gasoline,10,111,16,44,289.05,22386,1
5,kerosene,90,105,11,42,312.75,22477,0
5,gasoline,180,95,2.7,50,247.25,21875,0
2,gasoline,70,107,13.6,35,304.85,37370,1
4,kerosene,180,88,3.6,15,262.4,21479,0
6,lpg,30,78,4.5,2,239.9,21484,0
1,kerosene,60,109,13.8,46,320.95,21485,1
5,kerosene,120,87,7,7,241.85,22111,0
4,gasoline,120,95,3.6,55,275.25,22837,0
3,gasoline,80,106,12,44,295.3,22812,1
5,thinner,30,89,14.2,32,253.95,22739,1
2,kerosene,110,74,0,1,215.7,22924,0
7,lpg,50,90,11.3,7,254.5,22923,1
6,lpg,40,110,14.4,38,311.5,22961,1
3,gasoline,80,105,12.5,34,309.75,22964,1
6,lpg,40,86,7.4,3,236.3,22988,0
2,thinner,80,106,12.2,30,300.3,21843,1
4,gasoline,70,92,11.2,19,257.6,21217,1
2,thinner,150,94,3.1,50,256.7,79066K,0
2,kerosene,150,94,3.8,47,253.7,22952,0
3,thinner,90,110,12.2,38,306.5,22301,1
4,kerosene,120,103,8.5,33,311.65,22960,0
4,thinner,120,96,2.2,65,284.8,22446,0
3,gasoline,80,106,11.6,28,296.3,22086,1
7,lpg,30,101,0.4,70,298.55,22961,0
6,lpg,70,103,1.9,67,277.65,22728,0
5,kerosene,160,92,3.4,22,275.6,22730,0
3,thinner,150,86,4.5,17,233.3,84380,0
3,gasoline,50,92,,12,253.6,22832,1
1,gasoline,120,95,3.3,60,243.25,22926,0
6,lpg,60,105,11.6,51,269.75,22920,1
5,thinner,70,92,13.3,28,253.6,22916,1
2,thinner,60,89,11.2,15,247.95,22919,1
5,gasoline,140,106,4.3,36,271.3,22917,0
2,gasoline,100,89,5.2,9,253.95,22921,1
2,thinner,80,86,9.5,5,221.3,22918,1
3,thinner,80,105,11.6,45,316.75,22909,0
2,kerosene,90,106,11,40,313.3,22457,0
6,lpg,90,84,3.2,2,216.2,20674,0
1,gasoline,120,105,7.2,38,284.75,20676,1
3,gasoline,120,96,0,72,266.8,20727,0
5,thinner,110,87,5.2,11,249.85,82582,0
4,thinner,120,105,7.2,38,305.75,21181,0
7,lpg,120,91,4,8,251.05,22900,1
3,thinner,80,104,10.4,24,312.2,82494L,1
1,kerosene,150,96,1.4,65,284.8,21967,0
1,gasoline,80,110,11.6,38,297.5,22170,1
1,thinner,100,102,0,72,297.1,21210,0
1,gasoline,30,92,13.2,33,282.6,21679,1
4,thinner,90,89,7.9,10,231.95,22094,1
4,kerosene,160,74,0,1,215.7,21080,0
7,lpg,10,95,12,60,242.25,21429,1
2,thinner,30,112,16,46,335.6,21428,1
4,gasoline,10,106,15.1,18,318.3,22961,1
2,gasoline,30,92,12.5,26,263.6,84375,1
6,lpg,30,106,11.5,20,302.3,21877,1
3,kerosene,10,110,15.1,32,304.5,21870,1
2,gasoline,190,96,2.6,16,266.8,21868,0
5,thinner,80,103,8.2,51,310.65,85150,0
